Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;91400;91406;20121031;2012;1;1273;1620;2191;220;104
AT13;91400;91406;20121031;2012;2;1658;1846;2214;226;414
AT13;91400;91407;20121031;2012;1;296;367;603;94;5
AT13;91400;91407;20121031;2012;2;413;439;641;88;2
AT13;91400;91408;20121031;2012;1;334;570;755;119;7
AT13;91400;91408;20121031;2012;2;523;598;838;96;2
AT13;91400;91409;20121031;2012;1;3;3;4;0;139
AT13;91400;91409;20121031;2012;2;2;1;3;0;106
AT13;91400;91410;20121031;2012;1;763;1105;1505;119;7
AT13;91400;91410;20121031;2012;2;1029;1221;1521;126;4
AT13;91400;91411;20121031;2012;1;376;906;1589;141;20
AT13;91400;91411;20121031;2012;2;525;1012;1635;150;76
AT13;91400;91412;20121031;2012;1;450;842;1350;183;78
AT13;91400;91412;20121031;2012;2;505;882;1367;167;39
AT13;91500;91501;20121031;2012;1;1291;1429;2109;243;14
AT13;91500;91501;20121031;2012;2;1585;1579;1987;243;10
AT13;91500;91502;20121031;2012;1;1182;1360;2125;331;30
AT13;91500;91502;20121031;2012;2;1202;1314;1900;268;19
AT13;91500;91503;20121031;2012;1;1303;1501;2661;483;153
AT13;91500;91503;20121031;2012;2;1329;1657;2555;426;141
AT13;91500;91504;20121031;2012;1;890;973;1605;235;118
AT13;91500;91504;20121031;2012;2;838;987;1493;259;61
AT13;91500;91505;20121031;2012;1;1019;1417;2255;419;118
AT13;91500;91505;20121031;2012;2;1294;1517;2206;395;243
AT13;91500;91506;20121031;2012;1;1672;1902;3106;386;22
AT13;91500;91506;20121031;2012;2;1814;1898;3002;362;15
AT13;91500;91507;20121031;2012;1;1005;1228;1481;143;72
AT13;91500;91507;20121031;2012;2;1231;1338;1498;144;247
AT13;91600;91601;20121031;2012;1;1555;1813;2793;484;38
AT13;91600;91601;20121031;2012;2;1797;1933;2717;458;13
AT13;91600;91602;20121031;2012;1;939;1102;1776;338;56
AT13;91600;91602;20121031;2012;2;884;1050;1639;331;98
AT13;91600;91603;20121031;2012;1;1385;1725;2481;403;21
AT13;91600;91603;20121031;2012;2;1685;1923;2482;302;4
AT13;91600;91604;20121031;2012;1;885;1105;1668;195;6
AT13;91600;91604;20121031;2012;2;1153;1251;1661;183;1
AT13;91600;91605;20121031;2012;1;1730;2138;3243;343;121
AT13;91600;91605;20121031;2012;2;2059;2262;3103;329;231
AT13;91600;91606;20121031;2012;1;1121;1313;2042;364;35
AT13;91600;91606;20121031;2012;2;1378;1469;2101;345;46
AT13;91600;91607;20121031;2012;1;1137;1467;2092;216;48
AT13;91600;91607;20121031;2012;2;1371;1635;2034;211;24
AT13;91600;91608;20121031;2012;1;327;556;583;48;38
AT13;91600;91608;20121031;2012;2;498;630;587;39;193
