Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Housing units in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_TOTAL;WHG_WSA_1;WHG_WSA_0;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_BEHEIZ_1;WHG_BEHEIZ_0;WHG_BAD_1;WHG_BAD_0;WHG_TOI_1;WHG_TOI_0;WHG_WSS_1;WHG_WSS_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;REF_DAT
AT1;AT13;AT130;90900;90905;3286;2612;674;674;1224;714;638;36;59;378;2576;273;183;348;2220;535;292;393;1020;872;709;3090;196;3193;93;3147;139;3282;4;2956;139;52;139;4;10;3063;132;77;2023;291;5;967;2719;92;249;43;0;51;48;34;50;11;14;80;600;1462;1119;20111031
AT1;AT13;AT130;90900;90906;1267;988;279;279;485;251;239;13;29;110;1021;107;75;151;825;216;114;141;343;386;283;1158;109;1218;49;1219;48;1265;2;1095;97;27;48;0;0;1171;12;84;810;168;27;262;1017;7;40;12;0;38;0;0;153;11;0;36;230;681;309;20111031
AT1;AT13;AT130;91000;91001;401;361;40;40;114;84;154;9;2;58;321;20;28;76;292;5;56;46;258;39;2;372;29;388;13;350;51;400;1;341;7;2;51;1;0;399;0;1;253;26;100;22;123;1;19;16;0;0;3;1;238;2;0;3;0;122;274;20111031
AT1;AT13;AT130;91000;91002;10304;8885;1419;1419;4072;2353;2226;234;139;1782;7675;708;1736;2377;6016;175;3427;2668;3489;657;63;9580;724;9637;667;9183;1121;10250;54;8505;362;316;1121;17;16;10151;28;92;5211;3702;831;560;2588;1636;2709;935;459;1388;354;110;125;24;20;60;648;4243;5309;20111031
AT1;AT13;AT130;91000;91003;3944;3452;492;492;1611;995;786;60;78;385;3257;224;545;747;2564;88;1034;1183;1437;262;28;3617;327;3778;166;3505;439;3927;17;3292;175;38;439;26;4;3863;10;41;1685;1314;740;205;1177;48;1251;589;257;390;75;110;47;37;8;31;353;1588;1927;20111031
AT1;AT13;AT130;91000;91004;4841;3925;916;916;1838;1072;930;85;141;840;3482;378;785;1061;2902;93;1442;1381;1576;396;46;4393;448;4485;356;3943;898;4795;46;3657;201;85;898;10;12;4717;7;95;3668;480;285;408;2623;333;556;608;276;179;168;42;56;22;16;75;647;2259;1822;20111031
AT1;AT13;AT130;91000;91005;9073;7849;1224;1224;3310;2123;2215;201;169;1578;6785;541;1335;1616;5757;365;2411;2024;3504;1062;72;8431;642;8480;593;7633;1440;8997;76;7311;212;110;1440;24;22;8982;1;44;5060;969;2273;771;3517;643;526;334;1171;1184;777;784;137;37;24;109;675;2875;5353;20111031
AT1;AT13;AT130;91000;91006;6429;5490;939;939;2424;1464;1477;125;125;829;5035;440;1175;1449;3659;146;2191;1607;2179;400;52;5745;684;5919;510;5044;1385;6359;70;4660;272;112;1385;13;4;6338;8;66;4335;811;805;478;3409;348;456;613;305;237;578;250;233;25;10;36;349;2067;3942;20111031
AT1;AT13;AT130;91000;91007;6730;5993;737;737;2762;1778;1365;88;57;1831;4416;426;712;1078;4743;197;1249;1755;3086;599;41;6471;259;6580;150;6348;382;6712;18;6163;140;45;382;9;6;6636;8;71;3329;889;2100;412;994;297;761;2274;1006;353;519;246;280;17;12;37;157;2268;4239;20111031
AT1;AT13;AT130;91000;91008;5108;4406;702;702;1905;1235;1180;86;61;862;3888;297;693;1042;3300;73;1311;1358;1924;481;34;4829;279;4847;261;4540;568;5090;18;4311;124;105;568;0;8;5076;1;23;2865;659;1280;304;1630;737;194;976;611;244;184;75;457;5;14;7;144;1058;3880;20111031
AT1;AT13;AT130;91000;91009;2294;2191;103;103;907;662;590;32;5;28;2085;176;185;354;1702;53;432;620;919;297;26;2250;44;2210;84;2277;17;2293;1;2166;32;79;17;1;0;2013;279;1;261;1432;434;167;42;715;387;0;1;296;419;156;278;4;0;15;537;702;1036;20111031
AT1;AT13;AT130;91000;91010;8988;8387;601;601;4153;2427;1663;144;33;748;7870;337;1233;1866;5826;63;2633;2645;3226;453;31;8723;265;8658;330;8718;270;8981;7;8313;156;249;270;6;2;8879;16;85;1389;4896;2455;248;650;1889;2159;2909;583;470;90;135;103;14;8;8;162;5199;3597;20111031
AT1;AT13;AT130;91000;91011;4629;4131;498;498;1786;1164;1057;124;595;31;3866;137;585;864;2987;193;1271;744;1785;760;69;4472;157;4388;241;4610;19;4625;4;4270;110;230;19;802;32;3774;13;8;730;2837;1042;20;2;1495;42;1081;331;1318;247;38;75;808;32;18;138;1236;2397;20111031
AT1;AT13;AT130;91000;91012;1188;1152;36;36;467;313;359;13;1;220;966;1;17;98;934;139;45;121;681;336;5;1188;0;1188;0;1188;0;1188;0;1188;0;0;0;0;0;1184;0;4;430;0;522;236;0;0;0;0;0;2;16;1148;22;4;0;0;0;85;1099;20111031
AT1;AT13;AT130;91000;91013;3224;2882;342;342;1442;956;459;25;340;48;2736;100;245;774;2144;61;646;1304;1107;143;24;3095;129;3155;69;3216;8;3224;0;3037;114;65;8;662;86;2465;0;11;430;1237;1553;4;2;500;724;1431;480;38;11;26;12;666;88;334;724;1044;368;20111031
AT1;AT13;AT130;91000;91014;2221;2099;122;122;934;706;430;29;61;2;2117;41;98;377;1712;34;312;1185;617;101;6;2077;144;2207;14;2218;3;2221;0;2065;139;14;3;713;26;1478;0;4;66;1650;505;0;1;2;1614;284;253;50;16;0;1;717;26;71;1049;358;0;20111031
AT1;AT13;AT130;91000;91015;3234;2771;463;463;1022;886;836;27;701;144;2278;111;183;382;2349;320;440;603;1782;345;64;3137;97;3148;86;3209;25;3230;4;3067;69;73;25;855;38;2292;3;46;1401;435;1339;59;66;165;191;590;205;119;137;1029;732;861;38;14;79;672;1570;20111031
